User ID,Session,Timestamp,Timems,Datetime,Button,Event Type,State,x,y,Speed,Application Width,Application Height
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697638,1649697638578,2022-04-11 17:20:38.578,No Button,Move,Move,867,328,1489px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697638,1649697638611,2022-04-11 17:20:38.611,No Button,Move,Move,943,304,2303px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697638,1649697638645,2022-04-11 17:20:38.645,No Button,Move,Move,1025,277,2412px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697638,1649697638678,2022-04-11 17:20:38.678,No Button,Move,Move,1062,257,1121px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697638,1649697638711,2022-04-11 17:20:38.711,No Button,Move,Move,1074,245,364px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697638,1649697638745,2022-04-11 17:20:38.745,No Button,Move,Move,1076,242,88px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697638,1649697638778,2022-04-11 17:20:38.778,No Button,Move,Move,1079,238,121px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697638,1649697638812,2022-04-11 17:20:38.812,No Button,Move,Move,1092,227,382px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697638,1649697638845,2022-04-11 17:20:38.845,No Button,Move,Move,1102,217,303px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697638,1649697638878,2022-04-11 17:20:38.878,No Button,Move,Move,1115,202,455px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697638,1649697638911,2022-04-11 17:20:38.911,No Button,Move,Move,1129,187,455px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697638,1649697638945,2022-04-11 17:20:38.945,No Button,Move,Move,1146,169,529px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697638,1649697638978,2022-04-11 17:20:38.978,No Button,Move,Move,1151,161,242px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697639,1649697639072,2022-04-11 17:20:39.072,Left Button,mouseup,Released,1151,161,0px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697639,1649697639132,2022-04-11 17:20:39.132,No Button,Move,Move,1152,161,6px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697639,1649697639162,2022-04-11 17:20:39.162,No Button,Move,Move,1152,163,67px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697639,1649697639194,2022-04-11 17:20:39.194,No Button,Move,Move,1151,165,63px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697639,1649697639227,2022-04-11 17:20:39.227,No Button,Move,Move,1137,175,424px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697639,1649697639261,2022-04-11 17:20:39.261,No Button,Move,Move,1088,198,1441px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697639,1649697639295,2022-04-11 17:20:39.295,No Button,Move,Move,1028,220,1765px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697639,1649697639328,2022-04-11 17:20:39.328,No Button,Move,Move,921,254,3242px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697639,1649697639360,2022-04-11 17:20:39.360,No Button,Move,Move,785,288,4250px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697639,1649697639396,2022-04-11 17:20:39.396,No Button,Move,Move,707,304,2167px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697639,1649697639427,2022-04-11 17:20:39.427,No Button,Move,Move,635,316,2323px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697639,1649697639460,2022-04-11 17:20:39.460,No Button,Move,Move,591,322,1333px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697639,1649697639495,2022-04-11 17:20:39.495,No Button,Move,Move,561,325,857px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697639,1649697639528,2022-04-11 17:20:39.528,No Button,Move,Move,542,324,576px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697639,1649697639560,2022-04-11 17:20:39.560,No Button,Move,Move,507,319,1094px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697639,1649697639594,2022-04-11 17:20:39.594,No Button,Move,Move,471,318,1059px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697639,1649697639627,2022-04-11 17:20:39.627,No Button,Move,Move,458,319,394px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697639,1649697639738,2022-04-11 17:20:39.738,Right Button,mousedown,Pressed,458,319,0px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697639,1649697639837,2022-04-11 17:20:39.837,Right Button,mouseup,Released,458,319,0px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697639,1649697639912,2022-04-11 17:20:39.912,No Button,Move,Move,455,319,11px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697639,1649697639944,2022-04-11 17:20:39.944,No Button,Move,Move,438,318,531px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697639,1649697639978,2022-04-11 17:20:39.978,No Button,Move,Move,400,313,1118px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697640,1649697640012,2022-04-11 17:20:40.012,No Button,Move,Move,312,291,2588px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697640,1649697640045,2022-04-11 17:20:40.045,No Button,Move,Move,235,269,2333px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697640,1649697640077,2022-04-11 17:20:40.077,No Button,Move,Move,182,248,1656px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697640,1649697640111,2022-04-11 17:20:40.111,No Button,Move,Move,142,220,1176px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697640,1649697640144,2022-04-11 17:20:40.144,No Button,Move,Move,128,202,545px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697640,1649697640178,2022-04-11 17:20:40.178,No Button,Move,Move,123,191,324px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697640,1649697640211,2022-04-11 17:20:40.211,No Button,Move,Move,116,184,212px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697640,1649697640245,2022-04-11 17:20:40.245,No Button,Move,Move,105,177,324px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697640,1649697640278,2022-04-11 17:20:40.278,No Button,Move,Move,96,172,273px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697640,1649697640309,2022-04-11 17:20:40.309,Right Button,mousedown,Pressed,92,170,0px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697640,1649697640361,2022-04-11 17:20:40.361,Right,Drag,Move,91,169,12px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697640,1649697640407,2022-04-11 17:20:40.407,Right Button,mouseup,Released,91,169,0px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697640,1649697640437,2022-04-11 17:20:40.437,No Button,Move,Move,91,170,13px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697640,1649697640477,2022-04-11 17:20:40.477,No Button,Move,Move,99,189,475px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697640,1649697640511,2022-04-11 17:20:40.511,No Button,Move,Move,120,220,912px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697640,1649697640544,2022-04-11 17:20:40.544,No Button,Move,Move,175,274,1667px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697640,1649697640578,2022-04-11 17:20:40.578,No Button,Move,Move,270,333,2794px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697640,1649697640611,2022-04-11 17:20:40.611,No Button,Move,Move,422,408,4606px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697640,1649697640645,2022-04-11 17:20:40.645,No Button,Move,Move,533,447,3265px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697640,1649697640677,2022-04-11 17:20:40.677,No Button,Move,Move,648,479,3594px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697640,1649697640711,2022-04-11 17:20:40.711,No Button,Move,Move,723,496,2206px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697640,1649697640744,2022-04-11 17:20:40.744,No Button,Move,Move,759,500,1091px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697640,1649697640778,2022-04-11 17:20:40.778,No Button,Move,Move,770,498,324px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697640,1649697640819,2022-04-11 17:20:40.819,No Button,Move,Move,772,496,49px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697640,1649697640861,2022-04-11 17:20:40.861,No Button,Move,Move,785,492,310px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697640,1649697640894,2022-04-11 17:20:40.894,No Button,Move,Move,792,489,212px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697640,1649697640928,2022-04-11 17:20:40.928,No Button,Move,Move,795,487,88px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697640,1649697640984,2022-04-11 17:20:40.984,Left Button,mousedown,Pressed,796,487,0px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697641,1649697641085,2022-04-11 17:20:41.085,Left Button,mouseup,Released,796,487,0px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697641,1649697641149,2022-04-11 17:20:41.149,No Button,Move,Move,796,488,5px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697641,1649697641194,2022-04-11 17:20:41.194,No Button,Move,Move,796,489,22px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697641,1649697641227,2022-04-11 17:20:41.227,No Button,Move,Move,804,502,394px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697641,1649697641260,2022-04-11 17:20:41.260,No Button,Move,Move,825,525,697px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697641,1649697641293,2022-04-11 17:20:41.293,No Button,Move,Move,878,570,1606px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697641,1649697641328,2022-04-11 17:20:41.328,No Button,Move,Move,937,611,1686px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697641,1649697641360,2022-04-11 17:20:41.360,No Button,Move,Move,1035,667,3063px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697641,1649697641395,2022-04-11 17:20:41.395,No Button,Move,Move,1094,697,1686px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697641,1649697641427,2022-04-11 17:20:41.427,No Button,Move,Move,1144,718,1563px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697641,1649697641460,2022-04-11 17:20:41.460,No Button,Move,Move,1158,725,424px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697641,1649697641509,2022-04-11 17:20:41.509,No Button,Move,Move,1159,726,20px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697641,1649697641616,2022-04-11 17:20:41.616,No Button,Move,Move,1157,727,19px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697641,1649697641734,2022-04-11 17:20:41.734,Right Button,mousedown,Pressed,1157,727,0px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697641,1649697641858,2022-04-11 17:20:41.858,Right Button,mouseup,Released,1157,727,0px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697641,1649697641907,2022-04-11 17:20:41.907,No Button,Move,Move,1158,729,7px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697641,1649697641944,2022-04-11 17:20:41.944,No Button,Move,Move,1154,740,297px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697641,1649697641978,2022-04-11 17:20:41.978,No Button,Move,Move,1135,768,824px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697642,1649697642011,2022-04-11 17:20:42.011,No Button,Move,Move,1099,800,1091px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697642,1649697642045,2022-04-11 17:20:42.045,No Button,Move,Move,1028,838,2088px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697642,1649697642079,2022-04-11 17:20:42.079,No Button,Move,Move,951,858,2265px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697642,1649697642112,2022-04-11 17:20:42.112,No Button,Move,Move,899,858,1576px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697642,1649697642145,2022-04-11 17:20:42.145,No Button,Move,Move,869,844,909px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697642,1649697642179,2022-04-11 17:20:42.179,No Button,Move,Move,858,822,647px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697642,1649697642213,2022-04-11 17:20:42.213,No Button,Move,Move,856,797,735px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697642,1649697642245,2022-04-11 17:20:42.245,No Button,Move,Move,854,777,606px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697642,1649697642277,2022-04-11 17:20:42.277,No Button,Move,Move,848,764,419px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697642,1649697642312,2022-04-11 17:20:42.312,No Button,Move,Move,841,759,200px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697642,1649697642344,2022-04-11 17:20:42.344,No Button,Move,Move,827,757,438px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697642,1649697642377,2022-04-11 17:20:42.377,No Button,Move,Move,810,758,500px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697642,1649697642412,2022-04-11 17:20:42.412,No Button,Move,Move,793,761,500px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697642,1649697642455,2022-04-11 17:20:42.455,Left Button,mousedown,Pressed,789,762,0px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697642,1649697642485,2022-04-11 17:20:42.485,Left,Drag,Move,788,762,14px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697642,1649697642537,2022-04-11 17:20:42.537,Left,Drag,Move,787,765,57px/s,1460,958
3.132.251.132,session_l1rwewe20.i7wdzv6w3u9,1649697642,1649697642568,2022-04-11 17:20:42.568,Left,Drag,Move,779,771,267px/s,1460,958
